Snapshots,eval_dataset,Cost_time,Num,Vis,AUC,Mean,Median,,Thresholds,0,1.578947368,3.157894737,4.736842105,6.315789474,7.894736842,9.473684211,11.05263158,12.63157895,14.21052632,15.78947368,17.36842105,18.94736842,20.52631579,22.10526316,23.68421053,25.26315789,26.84210526,28.42105263,30
RESULT_OF_0720_n4_RHD_c1.2_b8_aTrue_vTrue_i5.0w,RHD,105.2435348,2728,all,0.824,7.233,3.126,,,0,0.210969138,0.507663036,0.688852814,0.780529954,0.832251082,0.866272169,0.889750035,0.90477936,0.917312526,0.927541544,0.936321743,0.943478564,0.948819997,0.954615277,0.959101382,0.963238375,0.967427734,0.971198157,0.974409999
,RHD,105.2435348,2728,part,0.829,5.419,3.087,,,0,0.213129319,0.513083833,0.695729885,0.787861631,0.839578043,0.873303886,0.896450594,0.911178292,0.923378028,0.93325632,0.941630288,0.94857154,0.95360266,0.959108691,0.963411243,0.967465673,0.971483036,0.975112124,0.978212788
RESULT_OF_0719_n2_RS_320_c1.2_b8_aTrue_i4.0w,RS_320,226.9779851,5728,all,0.792,7.462,4.653,,,0.000532056,0.125573623,0.332036446,0.515180234,0.656058792,0.758454709,0.827214685,0.873811186,0.903489957,0.923109537,0.936918063,0.946145916,0.953021083,0.958208633,0.962481711,0.96589851,0.969024342,0.971867518,0.974319965,0.976589518
,RS_320,226.9779851,5728,part,0.795,6.522,4.63,,,0.00053467,0.126179231,0.333724541,0.517828207,0.659384993,0.76223045,0.831273815,0.878049696,0.907758239,0.927226142,0.940910099,0.950019368,0.956788247,0.961856839,0.96605002,0.969405087,0.972443233,0.975229801,0.977580387,0.979739087
RESULT_OF_0720_n6_RS_320_c1.2_b8_aFalse_vTrue_i5.0w,RHD,77.70943427,2728,all,0.838,6.695,2.639,,,0.000157101,0.286971093,0.592357911,0.73840944,0.807690965,0.847769166,0.87435414,0.89290951,0.906629661,0.918726435,0.928588884,0.937229437,0.944246614,0.950652842,0.955365871,0.959904343,0.963622399,0.967776847,0.970552297,0.973380115
,RHD,77.70943427,2728,part,0.843,4.994,2.61,,,3.53E-05,0.289464358,0.597839226,0.744872358,0.814283769,0.854163352,0.880285253,0.898448533,0.911984658,0.923764127,0.933368089,0.94178124,0.948565424,0.954888887,0.959422072,0.963814442,0.96735893,0.971255856,0.973964649,0.976692039
RESULT_OF_0720_n5_STB_320_c1.2_b8_aFalse_vTrue_i5.0w,RHD,75.91803026,2728,all,0.372,24.911,20.887,,,0.000157101,0.045803659,0.075373551,0.114509147,0.154185868,0.196550761,0.239805893,0.281943863,0.324081832,0.364544058,0.404971373,0.443269096,0.482265047,0.519864544,0.553327049,0.584747242,0.615015361,0.644812177,0.672496858,0.698401061
,RHD,75.91803026,2728,part,0.375,23.214,20.737,,,3.53E-05,0.045956746,0.075774332,0.115243007,0.155328056,0.198059671,0.24175,0.284385555,0.3268709,0.367508467,0.408268064,0.446739193,0.485948001,0.523739021,0.557399623,0.588955052,0.619378523,0.649170581,0.676861214,0.702673401
RESULT_OF_0720_n6_RS_320_c1.2_b8_aFalse_vTrue_i5.0w,STB_320,79.88651252,3000,all,0.862,4.148,3.659,,,0.002238095,0.158714286,0.418952381,0.66884127,0.830936508,0.914174603,0.955777778,0.97547619,0.986111111,0.991571429,0.994301587,0.99584127,0.99668254,0.997142857,0.997571429,0.997809524,0.997984127,0.998126984,0.99831746,0.998444444
RESULT_OF_0724_n2_RHD_c1.2_b8_aFalse_vTrue_i3.0w,RHD,75.78764033,2728,all,0.838,6.702,2.663,,,0.000157101,0.285504818,0.588098729,0.736576595,0.807097472,0.847646977,0.874284318,0.893153889,0.907572266,0.918604245,0.927663734,0.935187125,0.942413769,0.948942187,0.953777405,0.958804636,0.962819439,0.967008798,0.970552297,0.973764139
,RHD,75.78764033,2728,part,0.842,5.002,2.633,,,3.53E-05,0.287924522,0.593424727,0.742858949,0.813349379,0.853715426,0.879831863,0.898371028,0.912543513,0.923363057,0.932217777,0.939512679,0.946525202,0.952864021,0.957521708,0.962446115,0.966291828,0.970364199,0.973854215,0.976954074
RESULT_OF_0724_n3_RHD_c1.1_b8_aFalse_vTrue_i3.0w,RHD,76.61956787,2728,all,0.837,6.758,2.679,,,0.000157101,0.276951543,0.590786901,0.738479263,0.807533864,0.848170647,0.87395266,0.892403296,0.90622818,0.917661639,0.926948052,0.934628543,0.941593353,0.948104315,0.953096635,0.957635107,0.962033934,0.966013825,0.969557324,0.972926267
,RHD,76.61956787,2728,part,0.841,5.052,2.651,,,3.53E-05,0.279121601,0.595945924,0.744506864,0.813622561,0.85422096,0.879694654,0.897772045,0.911348992,0.922599262,0.931614169,0.939087127,0.945831817,0.952149729,0.957019908,0.961448322,0.965735695,0.969511136,0.972894199,0.976173986
RESULT_OF_0724_n1_RS_320_c1.2_b8_aTrue_vTrue_i4.0w,RS_320,154.7977149,5728,all,0.788,7.563,4.781,,,0.000631817,0.124085528,0.323182695,0.500889532,0.641527002,0.74714851,0.819208899,0.867235302,0.899782189,0.920948058,0.935072493,0.944641194,0.952114924,0.957942604,0.962423517,0.966530327,0.969689412,0.972391261,0.975001663,0.977370976
,RS_320,154.7977149,5728,part,0.79,6.691,4.76,,,0.000634921,0.124538294,0.324479002,0.502881904,0.644053044,0.750077271,0.822275164,0.870341235,0.902924004,0.923955921,0.937946708,0.947333835,0.954613509,0.96033709,0.964697119,0.968671314,0.971783164,0.97445991,0.97698646,0.979287053
RESULT_OF_0724_n4_RHD_c1.2_b8_aFalse_vTrue_i5.0w,STB_320,80.07926059,3000,all,0.493,22.985,12.614,,,0.002222222,0.061111111,0.104253968,0.169571429,0.247587302,0.32452381,0.397730159,0.462222222,0.518396825,0.561031746,0.595888889,0.625968254,0.650777778,0.671619048,0.690015873,0.706507937,0.720460317,0.733761905,0.746730159,0.759222222
RESULT_OF_0801_n1_RHD_c1.2_b8_aFalse_vTrue_i3.0w,RHD,72.82787156,2728,all,0.833,6.966,2.809,,,0.000157101,0.25764558,0.564097193,0.729524508,0.80517735,0.845674487,0.871997626,0.890151515,0.903522553,0.915374948,0.924993018,0.934314342,0.941471163,0.947947214,0.953463203,0.957512917,0.960916771,0.964460271,0.96760229,0.970080994
,RHD,72.82787156,2728,part,0.837,5.239,2.779,,,3.53E-05,0.259896778,0.569349333,0.736060672,0.811789804,0.852286203,0.878225456,0.896136007,0.909190791,0.920612116,0.929875313,0.93890727,0.945919886,0.952242754,0.957606563,0.961538124,0.964885401,0.968394473,0.971370642,0.973762287
RESULT_OF_0801_n2_RHD_c1.2_b8_aFalse_vTrue_i5.0w,RHD,71.34362721,2728,all,0.828,7.057,2.99,,,0.000157101,0.239683703,0.536360145,0.707006703,0.791527021,0.837941628,0.86683075,0.887987013,0.903086161,0.91544477,0.926214914,0.935588605,0.942989806,0.949361123,0.954650189,0.959380673,0.962801983,0.966589862,0.969487502,0.972245496
,RHD,71.34362721,2728,part,0.833,5.343,2.961,,,3.53E-05,0.241567304,0.541058741,0.712844088,0.797633867,0.844013539,0.872569514,0.893418905,0.908208094,0.920325494,0.93080732,0.9399117,0.94710144,0.953281615,0.958360538,0.962926246,0.966235336,0.969919966,0.97277054,0.975464161
RESULT_OF_0802_n1_STB_320_c1.2_b8_aFalse_vTrue_i3.0w,STB_320,78.89776206,3000,all,0.894,3.149,2.905,,,0.002238095,0.201777778,0.550174603,0.828349206,0.943333333,0.980126984,0.992206349,0.995873016,0.997777778,0.998634921,0.998968254,0.999349206,0.999412698,0.999539683,0.999603175,0.999619048,0.999650794,0.999666667,0.999698413,0.999714286
